epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8077,2.57603,4.82081,1.7804,0.00457,0.3895,0.05824,0.02196,2.29032,5.4882,1.61781,0.000234448,0.000234448,0.000234448
2,40.7862,2.3085,3.60375,1.6362,0.53957,0.07318,0.13543,0.04801,2.38924,4.71393,1.75389,0.000467771,0.000467771,0.000467771
3,60.7057,2.2889,3.17708,1.65319,0.39421,0.21067,0.17573,0.06105,2.24887,4.1049,1.70934,0.000696381,0.000696381,0.000696381
4,80.9387,2.22739,2.98643,1.63312,0.34214,0.33576,0.23523,0.08022,2.21919,3.91743,1.67593,0.000692794,0.000692794,0.000692794
5,100.737,2.21941,2.81006,1.64241,0.35308,0.34212,0.27082,0.10068,2.17273,3.49537,1.65861,0.000685726,0.000685726,0.000685726
6,120.685,2.13689,2.6159,1.57484,0.40722,0.26847,0.2258,0.08515,2.12736,3.12497,1.61768,0.000678657,0.000678657,0.000678657
7,140.531,2.14493,2.53956,1.58256,0.28476,0.30009,0.24909,0.09125,2.2787,3.20133,1.74659,0.000671588,0.000671588,0.000671588
8,160.4,2.09466,2.35003,1.56406,0.41346,0.35149,0.33994,0.13772,2.15748,2.57109,1.6264,0.00066452,0.00066452,0.00066452
9,180.292,2.07299,2.29426,1.557,0.30419,0.36761,0.30385,0.10426,2.09403,2.57692,1.61106,0.000657451,0.000657451,0.000657451
10,200.177,2.04127,2.25887,1.53968,0.30986,0.37662,0.29335,0.10866,2.19473,2.7116,1.68812,0.000650383,0.000650383,0.000650383
11,219.955,2.03722,2.1949,1.53281,0.34587,0.32128,0.30435,0.11648,2.07814,2.32744,1.6311,0.000643314,0.000643314,0.000643314
12,239.803,2.02572,2.06083,1.52198,0.39187,0.38562,0.35855,0.13384,2.02269,2.47303,1.57898,0.000636245,0.000636245,0.000636245
13,259.782,2.03108,2.05029,1.52893,0.3669,0.38036,0.35176,0.13341,2.08762,2.2185,1.5743,0.000629177,0.000629177,0.000629177
14,279.624,1.9737,2.04651,1.48341,0.39932,0.3784,0.36561,0.12932,2.01779,2.25046,1.55808,0.000622108,0.000622108,0.000622108
15,299.496,1.97976,1.9606,1.49688,0.38457,0.45593,0.38297,0.14175,1.98105,2.33061,1.55646,0.00061504,0.00061504,0.00061504
16,319.436,1.97624,1.96279,1.49392,0.40696,0.36643,0.33527,0.13237,2.06854,2.41247,1.60474,0.000607971,0.000607971,0.000607971
17,339.383,1.90711,1.89841,1.45453,0.45035,0.38556,0.37772,0.12981,2.00019,2.23962,1.58996,0.000600902,0.000600902,0.000600902
18,359.325,1.93891,1.87092,1.47926,0.35756,0.41649,0.31989,0.12451,2.11743,2.34264,1.57025,0.000593834,0.000593834,0.000593834
19,379.236,1.94201,1.86672,1.46612,0.40634,0.42864,0.37582,0.14543,2.16311,2.18465,1.63751,0.000586765,0.000586765,0.000586765
20,399.329,1.90313,1.84178,1.4514,0.3626,0.41278,0.35884,0.14275,2.04293,2.24658,1.57739,0.000579697,0.000579697,0.000579697
21,419.531,1.92901,1.82215,1.43898,0.40783,0.36075,0.36057,0.14885,2.04008,2.033,1.58074,0.000572628,0.000572628,0.000572628
22,439.501,1.88478,1.76567,1.42245,0.51194,0.35304,0.39788,0.15312,1.95559,2.31056,1.54432,0.000565559,0.000565559,0.000565559
23,459.487,1.90785,1.74511,1.43879,0.39583,0.43713,0.36089,0.13693,2.12785,1.99307,1.5746,0.000558491,0.000558491,0.000558491
24,479.473,1.86437,1.69875,1.4132,0.55453,0.37265,0.38362,0.1587,2.05666,2.21019,1.58538,0.000551422,0.000551422,0.000551422
25,499.428,1.87619,1.75463,1.42495,0.43035,0.46956,0.39986,0.15454,2.02011,2.0664,1.52822,0.000544354,0.000544354,0.000544354
26,519.423,1.83887,1.66919,1.40293,0.46303,0.40017,0.4037,0.15549,2.02121,1.98496,1.5551,0.000537285,0.000537285,0.000537285
27,539.367,1.83263,1.62559,1.38791,0.53322,0.38502,0.39402,0.15129,1.96016,2.02812,1.50602,0.000530216,0.000530216,0.000530216
